ID,中藥中文名,中藥拉丁學名,中藥英文名,中藥基原,西藥學名,建議處理方式,項次_x,研究設計,可能交互作用機轉,可能交互作用結果,參考文獻,項次_y,篇名,連結
830,六君子湯（丸）《丸》,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，六君子湯(丸)對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
831,歸脾湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，歸脾湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
832,養心湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，養心湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
833,人參養榮湯（丸）《丸》,拉丁學名：,英文名：,基原：,學名：Aspirin,若合併使用人參養榮湯(丸)及Aspirin，宜注意Aspirin效果可能減弱。,['1'],['體外實驗'],['HPLC實驗分析，人參養榮湯(丸)與Aspirin代謝物結合率增加，推論可能減少Aspirin的作用。'],['減少Aspirin的作\r\r\n用'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
834,百合固金湯（丸）《丸》,拉丁學名：,英文名：,基原：,學名：Aspirin,若合併使用百合固金湯(丸)及Aspirin，宜注意Aspirin效果可能減弱。,['1'],['體外實驗'],['HPLC實驗分析，百合固金湯(丸)與Aspirin代謝物結合率增加，推論可能減少Aspirin的作用。'],['減少Aspirin的作\r\r\n用'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
835,紫菀湯,拉丁學名：,英文名：,基原：,學名：Aspirin,"若合併使用紫菀湯及
Aspirin，宜注意Aspirin效果可能減弱。",['1'],['體外實驗'],['HPLC實驗分析，紫菀湯與Aspirin代謝物結合率增加，推論可能減少Aspirin的作用。'],['減少Aspirin的作用'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
836,秦艽鼈甲散,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，秦艽鱉甲散對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
837,益氣聰明湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，益氣聰明湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
838,八珍湯(丸),拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，八珍湯(丸)對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
839,濟生腎氣丸《丸》,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，濟生腎氣丸對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
840,十全大補湯（丸）《丸》,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，十全大補湯(丸)對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
841,還少丹《丸》,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，還少丹對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
842,黃耆五物湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，黃耆五物湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
843,麻黃湯,拉丁學名：,英文名：,基原：,學名：Aspirin,"若合併使用麻黃湯
及Aspirin，宜注意Aspirin效果可能顯著減弱。",['1'],['體外實驗'],['HPLC實驗分析，麻黃湯與Aspirin代謝物結合率大幅增加，推論可能顯著減少Aspirin的作用。'],['可能顯著減少Aspirin的作用'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
844,桂枝湯,拉丁學名：,英文名：,基原：,學名：Aspirin,"若合併使用桂枝湯及
Aspirin，宜注意Aspirin效果可能減弱。",['1'],['體外實驗'],['HPLC實驗分析，桂枝湯與Aspirin代謝物結合率增加，推論可能減少Aspirin的作用。'],['減少Aspirin的作用'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
845,小青龍湯,拉丁學名：,英文名：,基原：,學名：Aspirin,"若合併使用小青龍湯及
Aspirin，宜注意Aspirin效果可能減弱。",['1'],['體外實驗'],['HPLC實驗分析，小青龍湯與Aspirin代謝物結合率增加，推論可能減少Aspirin的作用。'],['減少Aspirin的作用'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
846,葛根湯,"拉丁學名：Ge Gen Tang Concentrated Preparation (Granules, Powder)","英文名：Ge Gen Tang Concentrated Preparation (Granules, Powder)",基原：,學名：Aspirin,無。,"['1', '2', '3']","['體外實驗', '健保資料庫分析', '健保資料庫分析']","['HPLC實驗分析，葛根湯對Aspirin的影響未達顯著。', '機制未明', '機制未明']","['影響未達顯著', '由1997至2012年\r\r\n健保資料庫分析，在西藥Aspirin治療期間，合併使用中藥葛根湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至2012年\r\r\n健保資料庫分析，糖尿病患者在西藥Aspirin治療期間，合併使用中藥葛根湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。']","['248', '256', '256']","[None, None, None]","['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None, None]"
847,柴葛解肌湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，柴葛解肌湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
848,九味羌活湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，九味羌活湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
849,人參敗毒散,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，人參敗毒散對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
850,川芎茶調散《散》,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，川芎茶調散對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
851,荊防敗毒散,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,"['1', '2']","['體外實驗', '健保資料庫分\r\r\n析']","['HPLC實驗分析，荊防敗毒散對Aspirin的影響未達顯著。', '機制未明']","['影響未達顯著', '由1997至\r\r\n2012年健保資料庫分析，糖尿病患者在西藥Aspirin治療期間，合併使用中藥荊防敗毒散，與對照組(無服用中藥)相較，不會增加腎衰竭風險。']","['248', '256']","[None, None]","['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
852,麻杏甘石湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,"['1', '2']","['體外實驗', '健保資料庫分\r\r\n析']","['HPLC實驗分析，麻杏甘石湯對Aspirin的影響未達顯著。', '機制未明']","['影響未達顯著', '由1997至\r\r\n2012年健保資料庫分析，糖尿病患者在西藥Aspirin治療期間，合併使用中藥麻杏甘石湯，與對照組(無服用中藥)相較，不會增加腎衰竭風險。']","['248', '256']","[None, None]","['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None]"
853,麻杏薏甘湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，麻杏薏甘湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
854,麻黃附子細辛湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，麻黃附子細辛湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
855,大承氣湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，大承氣湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
856,小陷胸湯,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，小陷胸湯對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
857,五積散,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，五積散對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
858,參蘇飲,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，參蘇飲對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
859,香蘇散,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，香蘇散對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
860,逍遙散,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，逍遙散對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
861,加味逍遙散,拉丁學名：,"英文名：Jiawei Siaoyao San Concentrated Preparation (Granules, Powder) ;  Jaiwei Xiaoyao San Concentrated Preparation (Granules, Powder)",基原：,學名：Aspirin,無。,"['1', '2', '3']","['體外實驗', '健保資料庫分析', '健保資料庫分\r\r\n析']","['HPLC實驗分析，加味逍遙散對Aspirin的影響未達顯著。', '機制未明', '機制未明']","['影響未達顯著', '由1997至\r\r\n2012年健保資料庫分析，在西藥Aspirin治療期間，合併使用中藥加味逍遙散，與對照組(無服用中藥)相較，不會增加腎衰竭風險。', '由1997至\r\r\n2012年健保資料庫分析，糖尿病患者在西藥Aspirin治療期間，合併使用中藥加味逍遙散，與對照組(無服用中藥)相較，不會增加腎衰竭風險。']","['248', '256', '256']","[None, None, None]","['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。', '賴榮年、孫茂峰、林國義：中西藥交互作用資料探勘與實證探討分析。衛生福利部中醫藥司研究計畫。']","[None, None, None]"
862,藿香正氣散（丸）《丸》,拉丁學名：,英文名：,基原：,學名：Aspirin,無。,['1'],['體外實驗'],['HPLC實驗分析，藿香正氣散(丸)對Aspirin的影響未達顯著。'],['影響未達顯著'],['248'],[None],['蔡金川 (2011) 建立台灣常用中藥方劑與阿司匹靈交互作用快速分析平台 (衛生福利部研究計畫)'],[None]
